LOCUS.0	LOCUS	LAT	LON	COORD.BASED	POPULATION	POPULATION.20200101	POPULATION.20230101.total	POPULATION.20230101.urban	POPULATION.20230101.rural	REGION.RUS.LONG	REGION.RUS	FED.DISCTRICT	REGION.INCR	REGION.RosStat	REGION.20230101
Altay krai	Altay krai	53.3344868	83.4350722	Barnaul	2317052	2317153	2130950	1242728	888222	Алтайский край	Алтайский край	Сибирский федеральный округ	Алтайский край	Алтайский край	Алтайский край
Amur region	Amur region	50.3406931	127.3643399	Blagoveshchensk	790676	790044	756198	517053	239145	Амурская область	Амурская обл.	Дальневосточный федеральный округ	Амурская область	Амурская область	Амурская область
Arkhangelsk	Arkhangelsk	64.5612227	40.2758196		1136387	1092424	964304	750612	213692	Архангельская область без Ненецкого автономного округа	Архангельская обл.	Северо-Западный федеральный округ	Архангельская область	Архангельская обл без автономии	Архангельская область без Ненецкого автономного округа
Astrakhan	Astrakhan	46.365582	47.8913593		1005967	1005782	950557	608953	341604	Астраханская область	Астраханская обл.	Южный федеральный округ	Астраханская область	Астраханская область	Астраханская область
Belgorod	Belgorod	50.5896365	36.43305		1547532	1549151	1514527	989816	524711	Белгородская область	Белгородская обл.	Центральный федеральный округ	Белгородская область	Белгородская область	Белгородская область
Briansk	Briansk	53.2801522	34.2068779		1192570	1192491	1152505	802376	350129	Брянская область	Брянская обл.	Центральный федеральный округ	Брянская область	Брянская область	Брянская область
Vladimir	Vladimir	56.1485766	40.2823714		1358538	1358416	1325510	1029181	296329	Владимирская область	Владимирская обл.	Центральный федеральный округ	Владимирская область	Владимирская область	Владимирская область
Volgograd	Volgograd	48.6705332	44.2265197		2491751	2491036	2470057	1916300	553757	Волгоградская область	Волгоградская обл.	Южный федеральный округ	Волгоградская область	Волгоградская область	Волгоградская область
Vologda	Vologda	59.2221979	39.8057535		1160721	1160445	1128782	818635	310147	Вологодская область	Вологодская обл.	Северо-Западный федеральный округ	Вологодская область	Вологодская область	Вологодская область
Voronezh	Voronezh	51.6940904	39.0510688		2323657	2324205	2285282	1565753	719529	Воронежская область	Воронежская обл.	Центральный федеральный округ	Воронежская область	Воронежская область	Воронежская область
Birobidzhan	Birobidzhan	48.779324	132.8274808		158381	158305	147458	104427	43031	Еврейская автономная область	Еврейская авт. обл.	Дальневосточный федеральный округ	Еврейская автономная область	Еврейская автономная область	Еврейская автономная область
Chita	Chita	52.047505	113.3353098		1059657	1059700	992429	689961	302468	Забайкальский край	Забайкальский край	Дальневосточный федеральный округ	Забайкальский край	Забайкальский край	Забайкальский край
Ivanovo	Ivanovo	57.0019973	40.8420221		997196	997135	914725	750725	164000	Ивановская область	Ивановская обл.	Центральный федеральный округ	Ивановская область	Ивановская область	Ивановская область
Irkutsk	Irkutsk	52.2984622	104.1267313		2390827	2391193	2344360	1817199	527161	Иркутская область	Иркутская обл.	Сибирский федеральный округ	Иркутская область	Иркутская область	Иркутская область
Nalchik	Nalchik	43.4849189	43.5574938		868174	868350	903266	467644	435622	Кабардино-Балкарская Республика	Кабардино-Балкария	Северо-Кавказский федеральный округ	Кабардино-Балкарская Республика	Кабардино-Балкарская Республика	Кабардино-Балкарская Республика
Kaliningrad	Kaliningrad	54.7117271	20.3244462		1012253	1012512	1032343	790930	241413	Калининградская область	Калининградская обл.	Северо-Западный федеральный округ	Калининградская область	Калининградская область	Калининградская область
Kaluga	Kaluga	54.5356918	36.1086102		1000070	1002575	1070853	801577	269276	Калужская область	Калужская обл.	Центральный федеральный округ	Калужская область	Калужская область	Калужская область
Kamchatka	Kamchatka	53.0190051	158.5234823	Petropavlovsk-Kamchatskiy	312438	313016	288730	225106	63624	Камчатский край	Камчатский край	Дальневосточный федеральный округ	Камчатский край	Камчатский край	Камчатский край
